n_points,HI_percent,SA_dyne_s_cm2,mean_inlet_velocity
116,1.7032720627354402e-05,1.6003782503498114,0.134475276
81,1.2440225671528171e-05,1.0315448603324588,0.135468304
81,1.24159366234363e-05,1.0328012677608889,0.135293201
114,1.6770395151318866e-05,1.5809787678523597,0.136123791
80,1.2326313002658526e-05,1.0196663207209482,0.135952324
78,1.2444602775905222e-05,1.0310132035389445,0.135795578
113,1.672346038140797e-05,1.5794195688171047,0.13510786
85,1.2397827741327544e-05,1.0327345242818153,0.134792507
117,1.6738560727304308e-05,1.5818993423030165,0.134502456
112,1.6905980967932527e-05,1.5974071668501777,0.134306282
111,1.67725827862961e-05,1.5818932432799098,0.135152176
83,1.2350478939851114e-05,1.026222338008489,0.135468438
115,1.705526296021813e-05,1.5952051503801377,0.135783359
114,1.7036192114974852e-05,1.6027987721508627,0.134653911
111,1.6903803365518986e-05,1.588179650108877,0.134967133
115,1.6995849508590127e-05,1.5955925381094893,0.135280669
117,1.6756747620526776e-05,1.5814474776687177,0.135947347
82,1.2341169144164662e-05,1.0218529162813197,0.136111856
83,1.2319782994882658e-05,1.024582443831645,0.136440933
117,1.6922903238915338e-05,1.5904718473075796,0.136452883
87,1.2292303100119956e-05,1.0236945705205203,0.136582881
83,1.234169694971083e-05,1.0232679679454102,0.136123732
113,1.6112066776529758e-05,1.5668609262484716,0.132575035
113,1.6217952567468444e-05,1.5886445168877703,0.132257149
111,1.5803289857562134e-05,1.561805493311854,0.132065102
114,1.6048762995146318e-05,1.5902806643069247,0.131745055
77,1.1680771086285753e-05,1.0389177020001361,0.131520316
111,1.57753226494724e-05,1.5796664039188475,0.131412849
108,1.5897250466913706e-05,1.5840398217981704,0.131396592
79,1.15665759956601e-05,1.045654069272539,0.131289154
110,1.580361057105391e-05,1.5770109333513977,0.131396621
108,1.566885059964234e-05,1.582246119151828,0.131214231
78,1.145108214166219e-05,1.0498227422657822,0.131106928
113,1.5464160884418644e-05,1.574985244060144,0.131106868
110,1.6610657543397842e-05,1.590991171102699,0.133516848
113,1.6685092697029577e-05,1.5975563539589608,0.133845925
80,1.2342271797819302e-05,1.0346091792845862,0.134161443
112,1.6415443207300427e-05,1.5896328141382723,0.132859975
112,1.632794873769358e-05,1.580368683361996,0.133169398
114,1.6463142132311012e-05,1.5874079290525391,0.133339792
81,1.1762899839453794e-05,1.043948238710313,0.131760269
108,1.5747823191275555e-05,1.5843546848019623,0.131289139
109,1.58507588386859e-05,1.5826303595996418,0.131396517
112,1.5705281979392635e-05,1.569630370222896,0.131503955
112,1.636323441944158e-05,1.5837438585614323,0.132700309
112,1.6242415335094325e-05,1.5885858242118223,0.132256746
112,1.589858894811631e-05,1.57794830560763,0.131906703
109,1.5933455131275957e-05,1.5770445611777222,0.13164176
109,1.6074392868537533e-05,1.5867741656574017,0.132071912
115,1.6358122754129457e-05,1.580843091077135,0.132871792
80,1.210083458154549e-05,1.034400328608872,0.133036092
80,1.2111394716375312e-05,1.0345010941311172,0.133339614
81,1.2200250171563856e-05,1.0361802921889403,0.133516639
79,1.2228977036762458e-05,1.038493702393199,0.133845508
82,1.239031244969984e-05,1.0400790064359084,0.134178683
85,1.2404552411299663e-05,1.0320634037592646,0.134491786
81,1.2448841075662252e-05,1.032397019508538,0.135760918
85,1.2381689497695049e-05,1.0284282914206881,0.135304987
83,1.2284145777194584e-05,1.0209772753331845,0.136418045
114,1.6796879309434608e-05,1.5816964217632312,0.136123806
114,1.6693802758183916e-05,1.5730211272317138,0.136089042
84,1.2376937746536152e-05,1.0291099413245461,0.135141939
113,1.6836182231808215e-05,1.5892558801998,0.134962276
79,1.2454378207146815e-05,1.039874138481516,0.134492055
82,1.2370505518476726e-05,1.0294917792878473,0.135478497
81,1.2360473151743231e-05,1.023889407178528,0.135959491
115,1.699799337537054e-05,1.5908499834392495,0.135788426
115,1.701413312078363e-05,1.5895688277587559,0.136263803
114,1.6678002687681287e-05,1.577894151453692,0.134826675
113,1.6798485877770307e-05,1.5856828727798868,0.135141715
115,1.7010342424939676e-05,1.5947765989666638,0.135597214
83,1.2364077462103813e-05,1.0267355651494023,0.136263818
86,1.2295669993397283e-05,1.0228471378770576,0.136605754
82,1.2264453919151837e-05,1.014531326130052,0.136782899
115,1.7001209036102784e-05,1.593575228086298,0.136770815
