n_points,HI2_percent,HI3_percent,HI_percent,SA_dyne_s_cm2,mean_inlet_velocity
81,1.761156271097969e-07,2.3058677056290799e-07,1.761156271097969e-07,1.0039803959229505,0.132785484
81,1.7124890380815532e-07,2.267245567173662e-07,1.7124890380815532e-07,0.9952758490353064,0.133196905
79,1.6419556573680906e-07,2.1789807863892487e-07,1.6419556573680906e-07,0.9793564616226518,0.133559421
76,1.5301574909944489e-07,2.0460705389667287e-07,1.5301574909944489e-07,0.9486753139165678,0.133993417
78,1.6723204332442378e-07,2.224488528888506e-07,1.6723204332442378e-07,0.9854708056897327,0.133437693
79,1.6313783715825848e-07,2.159722462644468e-07,1.6313783715825848e-07,0.977070861981884,0.133571059
79,1.5614309526119634e-07,2.0745301962798167e-07,1.5614309526119634e-07,0.9603903466860961,0.133866385
74,1.5259862183557117e-07,2.0609772055777542e-07,1.5259862183557117e-07,0.9526768504681155,0.133708477
72,1.4149548380078957e-07,1.9211748733453833e-07,1.4149548380078957e-07,0.9211825597538035,0.132310703
76,1.5511641426839397e-07,2.0935600407504516e-07,1.5511641426839397e-07,0.9576320658851036,0.133988425
76,1.5022688187044785e-07,2.0165484701452107e-07,1.5022688187044785e-07,0.9472055741641172,0.133708522
73,1.4313007173009214e-07,1.9454493652107837e-07,1.4313007173009214e-07,0.9282660324603805,0.132310793
73,1.3756560421328173e-07,1.874506821416371e-07,1.3756560421328173e-07,0.9139668699263764,0.131352365
76,1.3304324349065772e-07,1.82307304386938e-07,1.3304324349065772e-07,0.8945190217054115,0.130068704
74,1.3971860818203515e-07,1.908386779077945e-07,1.3971860818203515e-07,0.9188421535318497,0.131541446
73,1.3825443988873962e-07,1.891214968107661e-07,1.3825443988873962e-07,0.9146442941035016,0.13135241
77,1.3366509985383474e-07,1.827291220695636e-07,1.3366509985383474e-07,0.9002851849471656,0.130068749
79,1.2890570756913965e-07,1.7718286687714793e-07,1.2890570756913965e-07,0.8867112757138015,0.129023403
78,1.2512651986821278e-07,1.7450498841153807e-07,1.2512651986821278e-07,0.8719283692516855,0.128155202
74,1.3045052402611326e-07,1.7888537187428583e-07,1.3045052402611326e-07,0.8912027950951146,0.129366264
78,1.2889370120568717e-07,1.776458380852844e-07,1.2889370120568717e-07,0.8856020522621393,0.128991395
